ticker,nom,secteur,dernier_cours,variation_jour_pct,volume,volume_moyen_20j,volume_ratio,ema_9,ema_20,ema_200,rsi_14,atr_14,variation_moyenne_14j_pct,plus_haut_52s,plus_bas_52s,plus_haut_20j,plus_bas_20j,croisement,jours_depuis_croisement,cassure_20j,jours_depuis_cassure,volume_confirme,score_tendance,configuration_tendance,score_opportunite,stop_suggere,objectif_suggere,date
AI.PA,Air Liquide,Industrie,173.68,-2.53,1276414,1056536.0,1.21,175.416,173.358,172.269,51.2,3.416,1.75,189.8,154.86,182.26,164.16,,7.0,,3.0,False,4,EMA9 > Prix > EMA20 > EMA200,4,168.56,182.22,2026-07-08
AIR.PA,Airbus,Aéronautique,197.36,-3.23,1337317,1243684.0,1.08,199.866,194.059,182.97,57.3,5.363,2.38,221.3,157.42,210.95,174.38,,,,2.0,False,4,EMA9 > Prix > EMA20 > EMA200,4,189.32,210.77,2026-07-08
ALO.PA,Alstom,Industrie,15.55,-1.74,1514642,2041093.0,0.74,15.708,15.914,20.534,40.9,0.485,2.74,30.23,14.72,16.87,14.93,,,,7.0,False,-7,EMA200 > EMA20 > EMA9 > Prix,-7,14.82,16.76,2026-07-08
MT.AS,ArcelorMittal,Matériaux,53.6,-4.49,2256146,2318113.0,0.97,55.124,55.472,46.592,45.0,2.211,3.72,62.6,26.35,62.58,51.24,,,,7.0,False,2,EMA20 > EMA9 > Prix > EMA200,2,50.28,59.13,2026-07-08
CS.PA,AXA,Assurance,44.01,-0.65,3153835,3549857.0,0.89,43.725,42.947,40.252,69.2,0.621,1.27,44.54,36.55,44.54,40.28,,,,1.0,False,7,Prix > EMA9 > EMA20 > EMA200,7,43.08,45.56,2026-07-08
BNP.PA,BNP Paribas,Banque,98.27,-3.45,2559855,2025384.0,1.26,101.178,99.958,87.473,47.9,2.078,1.71,103.6,65.12,103.6,91.51,,,,2.0,False,0,EMA9 > EMA20 > Prix > EMA200,0,95.15,103.47,2026-07-08
EN.PA,Bouygues,BTP/Télécom,46.16,-1.68,998746,935708.0,1.07,47.836,48.685,46.677,30.0,0.983,1.77,53.48,35.39,51.1,45.7,,8.0,baissière,0.0,False,0,EMA20 > EMA9 > EMA200 > Prix,-1,44.69,48.62,2026-07-08
CAP.PA,Capgemini,Technologie,90.9,-3.11,619969,763877.0,0.81,91.593,92.798,113.232,43.5,3.343,3.04,153.05,86.2,100.0,86.2,,,,,False,-7,EMA200 > EMA20 > EMA9 > Prix,-7,85.89,99.26,2026-07-08
CA.PA,Carrefour,Distribution,16.42,-0.55,1967685,2688552.0,0.73,16.231,16.236,15.248,52.5,0.388,1.85,17.53,11.94,16.8,15.24,,,,,False,4,Prix > EMA20 > EMA9 > EMA200,4,15.84,17.39,2026-07-08
ACA.PA,Crédit Agricole,Banque,17.2,-2.27,7249132,5475224.0,1.32,17.535,17.404,16.928,47.1,0.308,1.44,19.15,15.29,17.94,16.22,,,,2.0,False,0,EMA9 > EMA20 > Prix > EMA200,0,16.74,17.97,2026-07-08
